number,crn,name,days,time,room,instructor,avail_max,desc,gen_ed
AMST 301-01,10072,Critical Prison Studies,M,07:00 pm-10:00 pm,THEATR 200,Karin Aguilar-San Juan, Closed 0 / 25,"With the global COVID pandemic, racist violence and police brutality still ongoing, we are living in a pivotal and confusing world-historical moment. Now more than ever, Critical Prison Studies rings a bell. Through a lens informed by anti-racist and abolitionist movements and legacies, we will light the way for discussions of systemic racism, carceralization, and social death. Scholarly texts, videos and film, podcasts, music, poetry, and art will organize and direct our focus on the key public policies and core cultural narratives of freedom, containment, criminality, and good citizenship in the contemporary United States. Many of these narratives have become stock morality tales that we need to examine closely—so we can reconsider their merit and value in our lives. This course is required for majors (juniors) in American Studies; during Fall 2021 non-majors are also invited to enroll. Previous coursework in American Studies is helpful but not required. Internships and small-group projects will be optional and encouraged.",
AMST 308-01,10714,Introduction to U.S. Latinx Studies,M W F,10:50 am-11:50 am,HUM 215,Alicia Munoz, Closed 0 / 16,"This course provides an interdisciplinary discussion of the Latino experience in the United States with a focus on Mexican, Puerto Rican, Dominican, and Cuban- Americans. Using fiction, poetry, films and critical essays, we will examine issues of race and ethnicity, language, identity, gender and sexuality, politics, and immigration. This course satisfies the Area 2 requirement for the Spanish major. Prerequisite(s): SPAN 305 .",U.S. Identities and Differences
AMST 394-01,10073,"Troubled Waters: Race, Law and the Environment", T R,03:00 pm-04:30 pm,HUM 212,Kirisitina Sailiata,2 / 16,"In Fall 2021, let's learn about contemporary social movements through water law and politics across Native North America and Oceania. How is access to clean water determined? Who owns water? And how have water rights and law shaped American society and culture? Students will engage in participation action based research through case studies and audio storytelling techniques. No previous coursework required.",U.S. Identities and Differences
AMST 400-01,10074,Senior Seminar, T R,01:20 pm-02:50 pm,HUM 216,Karin Aguilar-San Juan,5 / 16,The Senior Capstone is required of all majors. Majors who meet college criteria are encouraged to conduct an honors project in conjunction with their Senior Capstone.,
ANTH 101-01,10075,General Anthropology, T R,03:00 pm-04:30 pm,CARN 06A,Ron Barrett,2 / 35,"This course is an introduction to the discipline of anthropology as a whole. It presents students with a theoretical grounding in the four major subfields: archaeology, biological anthropology, cultural anthropology, and linguistics. In this class the emphasis is on the holistic nature of the discipline. Students will be challenged with some of the countless links between the systems of biology and culture. They will explore key questions about human diversity in the past, present, and future. Prerequisite(s): Not open to students who've taken ANTH 111 .",Internationalism
ANTH 111-01,10076,Cultural Anthropology,M W F,01:10 pm-02:10 pm,CARN 06A,Jenna Rice Rahaim,-1 / 35,"The cultural perspective on human behavior including case studies, often illustrated by ethnographic films and slides, of non-Western and American cultures. May include some field interviewing. Includes the cross cultural treatment of economic, legal, political, social and religious institutions and a survey of major approaches to the explanation of cultural variety and human social organization. Prerequisite(s): Not open to students who've taken ANTH 101 .",Internationalism
ANTH 194-01,10077,"Evolution, Bigfoot, and Anthropology in the United States",M W F,09:40 am-10:40 am,CARN 06B,Scott Legge,0 / 16,"It is interesting that the term “Evolution” can be more contentious in the United States than the concept of a hairy upright walking humanlike ape populating the remote forests of North America or even the snowy slopes of the Tibetan Plateau. Nothing grabs international media headlines like a Bigfoot sighting. This course will examine some of the most heated debates of evolutionary anthropology in the U.S. We will trace the histories of these debates back to the early European Naturalists who posited some of the first theories of organic change and look at the ways in which many of those theories have been re-shaped into the pseudo-scientific “evolutionary alternatives” that are posited today. Throughout the course we will read a wide variety of texts, including both fiction and non-fiction, and discuss how these writings have shaped the public understanding of evolutionary theory.",Writing WA
ANTH 206-01,10446,Endangered/Minority Languages,M W F,09:40 am-10:40 am,THEATR 213,Marianne Milligan,0 / 20,"Language loss is accelerating at alarming rates. In fact, Linguists predict that only five percent of the six thousand languages currently spoken in the world are expected to survive into the 22nd century. In this course, we will examine the historical, political, and socio-economic factors behind the endangerment and/or marginalization of languages in Africa, Asia, Australia, Europe, and North and South America. We will also concentrate on the globalization of English (and other major languages), which plays a primary role in language endangerment and marginalization. Additional topics include: linguistic diversity, language policy, multilingualism (in both nations and individuals), global language conflict, and language revitalization. Students will have the opportunity to learn first-hand about these issues by interviewing speakers of an endangered and/or minority language.","Writing WA
                    U.S. Identities and Differences"
ANTH 230-01,10078,Ethnographic Interviewing, T R,09:40 am-11:10 am,CARN 105,Hilary Chart, Closed 0 / 16,An introduction to ethnographic field interviewing learned in the context of individually run student field projects. Focuses on the anthropologist-informant field relationship and the discovery of cultural knowledge through participant observation and ethnosemantic interviewing techniques. Prerequisite(s): ANTH 101 or ANTH 111 or permission of instructor.,
ANTH 239-01,10079,Medical Anthropology, T R,09:40 am-11:10 am,CARN 06A,Ron Barrett,1 / 30,"This course examines issues of health, illness, and healing from a variety of anthropological perspectives. From a cross-cultural perspective, we will examine the diversity of beliefs about human health and sickness, and a variety of healing practices by which people treat them. From the perspective of critical epidemiology, we will wrestle with recurrent problems of socioeconomic inequalities, ecological disruptions, and their impact upon the differential distribution, prevention, and treatment of human diseases. Previous courses in anthropology are recommended but not required.",Internationalism
ANTH 240-01,10080,Human Osteology and Paleopathology, T R,03:00 pm-04:30 pm,CARN 06B,Scott Legge, Closed 5 / 16,"The study of the human skeletal system is basic to the disciplines of biological anthropology, forensic science, medicine and even archaeology. This class will examine the fundamentals of osteology. It will also explore numerous pathological conditions associated with both infectious and non-infectious diseases in addition to those caused by traumatic events. Students will learn to identify and analyze human bone and pathological conditions of the skeleton to aid in the reconstruction of life histories from human remains. Prerequisite(s): ANTH 101 or ANTH 111 or ANTH 112 or ANTH 115 or ANTH 223 or BIOL 112 or BIOL 190 or BIOL 200.",
ANTH 258-01,10081,Dynamic Africa,M W F,10:50 am-11:50 am,ARTCOM 202,Hilary Chart,2 / 20,"Despite long histories of deep engagement in global flows of people, goods, and ideas, the single story we hear about Africa is too often one of backwardness, distance, and disconnection.  This course moves Africa from the margins to the center of our understanding of globalization, focusing on histories of trans-oceanic trade, colonization, slavery, structural adjustment, rights discourses, and environmental politics to consider how Africa and Africans have shaped contemporary world systems and cultural economies.  To this end, we will pay particular attention to systems, process, and change.  Students will have the chance to critically examine diverse representations of Africa through fiction, film, journalism, and social media.  Ethnographic sources will further allow us to explore how everyday lives, subjectivities, and intimacies on the continent shape—and are in turn shaped by—global historical processes.  Particular cases will be explored in depth to highlight wider themes and conflicts related to knowledge production, commerce, humanitarianism, sexualities, and conservation.  The course aims to familiarize students with the diversity of ways in which Africa has gone global, and cultivate a critical perspective on Africa’s contemporary place in the world. Prerequisite(s): ANTH 101 or ANTH 111",Internationalism
ANTH 335-01,10082,Global Generosity,  W,07:00 pm-10:00 pm,CARN 06A,Jenna Rice Rahaim, Closed 3 / 20,"From Italian Mafia dons to famous American philanthropists; from the knitting of ""trauma teddies"" in Helsinki to gift shopping in London; and from ceremonial exchange rings in Melanesia to the present day global refugee crisis: this course will investigate how generosity is understood and practiced in global perspective. We'll begin the semester by examining key debates surrounding reciprocity, gifts, and exchange, theories of altruism and generosity, and patron-client relations. We'll then explore the birth of the ""humanitarian spirit,"" and the complicated ethics and politics of humanitarian intervention. We will compare diverse religious traditions' approaches to giving, including Islam, Christianity, Hinduism, and Jainism. And we'll explore contemporary debates surrounding volunteerism within sectarian and neoliberal political regimes.",
ANTH 405-01,10530,Ethnomusicology, T R,09:40 am-11:10 am,MUSIC 228,Chuen-Fung Wong, Closed 2 / 12,"This course introduces students to the field of ethnomusicology through its philosophical foundation, theoretical models, and disciplinary practices. Topics include comparative approach, structuralist/functionalist models, cultural relativism, organology, bi-musicality, reflexivity, post/modernism, among other recent research directions. Assignments are designed to develop skills in musical fieldwork, transcription and analysis, as well as preparing and presenting scholarly findings in ethnographic disciplines. This course is aimed primarily for students of music and/or anthropology. There is no prerequisite, hower basic knowledge or experience in world music and performance is desirable.",Internationalism
ANTH 487-01,10084,Theory in Anthropology,M W F,03:30 pm-04:30 pm,CARN 05,Jenna Rice Rahaim,10 / 16,"This course introduces students to the broad range of explanations for social and cultural phenomena used by anthropologists since the emergence of the discipline in the 19th century. The course focuses on the development of three broad theoretical approaches: The American school of cultural anthropology, British social anthropology, and the French school that emerged from the work of Durkheim and his followers. The course also examines theoretical approaches such as cultural materialism, and symbolic and interpretive approaches to the study of culture. Prerequisite(s): Junior or senior standing.  Students should have at least two courses in anthropology including ANTH 101 or ANTH 111, or the permission of the instructor.",
ART 130-01,10085,Drawing I,M W,01:10 pm-04:20 pm,ART 302,Megan Vossler, Closed -3 / 12,"This course is an introduction to fundamental drawing materials and techniques. Students explore a variety of themes and subjects, including still life, architecture, figure drawing, portraiture, and imagination. Formal elements covered include: line, value, volume, space, proportion, perspective, mark-making, and composition. Context for assignments is given through frequent discussion of both historical and contemporary artworks. In group critiques and discussions, we consider composition, representational accuracy, creative expression, content, and intention.",
ART 130-02,10086,Drawing I, T R,01:20 pm-04:30 pm,ART 302,Megan Vossler, Closed -3 / 12,"This course is an introduction to fundamental drawing materials and techniques. Students explore a variety of themes and subjects, including still life, architecture, figure drawing, portraiture, and imagination. Formal elements covered include: line, value, volume, space, proportion, perspective, mark-making, and composition. Context for assignments is given through frequent discussion of both historical and contemporary artworks. In group critiques and discussions, we consider composition, representational accuracy, creative expression, content, and intention.",
ART 131-01,10087,Ceramics I,M W F,09:40 am-11:40 am,ART 113,Summer Hills-Bonczyk,0 / 14,"This introductory course will provide a supportive studio environment for the exploration of diverse approaches to the ceramic field, ranging from investigation of utilitarian object making to sculptural practice. Techniques and applications for both handbuilding and wheel throwing will be presented. Emphasis is placed on development and understanding of strong three-dimensional forms as well as the relationship with surface decoration. Content-based assignments allow for individual expression through creative problem solving. The course goal is to present students with a historical perspective and the understanding of contemporary ceramics, building an appreciation for the spirit of the handmade object as well as preparing students for upper level self-directed work. Lectures, demonstrations, critiques and gallery/museum visits will supplement studio work. Learning will be assessed primarily through portfolio production and review, along with class participation. Three two-hour periods per week. $100 materials fee is required.",
ART 131-02,10088,Ceramics I,M W F,01:10 pm-03:10 pm,ART 113,Summer Hills-Bonczyk,1 / 14,"This introductory course will provide a supportive studio environment for the exploration of diverse approaches to the ceramic field, ranging from investigation of utilitarian object making to sculptural practice. Techniques and applications for both handbuilding and wheel throwing will be presented. Emphasis is placed on development and understanding of strong three-dimensional forms as well as the relationship with surface decoration. Content-based assignments allow for individual expression through creative problem solving. The course goal is to present students with a historical perspective and the understanding of contemporary ceramics, building an appreciation for the spirit of the handmade object as well as preparing students for upper level self-directed work. Lectures, demonstrations, critiques and gallery/museum visits will supplement studio work. Learning will be assessed primarily through portfolio production and review, along with class participation. Three two-hour periods per week. $100 materials fee is required.",
ART 149-01,10089,Introduction to Visual Culture,M W F,09:40 am-10:40 am,ARTCOM 102,Kari Shepherdson-Scott,0 / 25,"This course examines material and symbolic practices through myriad visual culture forms, from standards of fine art such as painting and sculpture to mass media including TV, film, advertising, and the Internet. Students will learn different theoretical paradigms and techniques for visual analysis in order to understand how visual culture mediates numerous social, economic, cultural and political relationships. We will investigate these diverse practices through lectures, guest speakers, film, historical art and media and, of course, those proliferating images that define our daily experiences. Offered every Fall.",
ART 160-01,10090,Introduction to Art History I: From Prehistory to the Medieval Period,M W F,12:00 pm-01:00 pm,ARTCOM 102,Jennifer Awes-Freeman, Closed -1 / 25,"​This course surveys the visual and material culture of Europe, the Middle East and the broader Mediterranean world from prehistory through the late Medieval period, including early Christian, Jewish and Islamic cultures. We consider the artistic and archaeological remains from the Near East, Egypt, the Aegean, Greece, Etruria, Rome, and western Europe from a contextual perspective in order to understand each culture's ideologies, and the diverse social and artistic purposes for which art and architecture was created and used.",
ART 170-01,10092,Introduction to the Art of China,M W F,01:10 pm-02:10 pm,ARTCOM 102,Kari Shepherdson-Scott,-1 / 25,"This course examines the art and visual culture of China from the Neolithic era to the twenty-first century. Lectures and readings will teach methods of formal visual analysis as well as provide the opportunity for students to think critically about how scholars write the artistic history of the region. Through this class, students will engage with a broad array of media, from jade carvings, Buddhist cave painting, architecture, calligraphy and monumental landscape paintings to ceramics, imperial palaces, and contemporary installations. While examining the intended meanings and functions of these objects and spaces, we will discuss the varied contexts and value systems that have informed visual production in China.",Internationalism
ART 194-01,10094,"Social Design: History, Theory and Praxis", T R,01:20 pm-02:50 pm,ARTCOM 102,Joanna Inglot,0 / 14,"In this co-taught, interdisciplinary First Year Course, students will learn about the revolutionary potential of design and how it can transform their lives and their communities. Participants will discover the design field’s history and theoretical underpinnings as well as how to make socially-meaningful designs through hands-on projects. Throughout the course, we will investigate the processes and practices of design as well as the effects that design has on society, culture, and the environment. Some of our key topics will include issues of gender and race; consumption, social responsibility, and globalization; and politics and activism. The course will take advantage of campus resources including the new Studio Art and Theater facilities, the Idea Lab, the Digital Resource Center, and the Entrepreneurship Office. We will also connect with local designers who will open their studios to us and join us in creative discussions. This course will be co-taught by faculty from three different departments: Julia Chadaga (Russian Studies), Joanna Inglot (Art and Art History), and Mina Kinukawa (Theater and Dance). Each section will cover the same material and meet at the same time. Students will have opportunities to work with all three professors, occasionally meet up with students in the other sections, and take local field trips together if health and safety conditions allow. All of the participating departments will allow the course to count for a major or minor. No previous experience with design is required, and all are welcome.","Writing WA
                    Internationalism"
ART 194-02,10095,Nature and Power,  W,01:10 pm-04:10 pm,LIBR HARMON,Ruthann Godollei,0 / 16,"How do we observe, interpret, and understand the diverse world of living things that we see all around us?  Students in our collaborative First-Year Course will explore this question from historical, artistic, and scientific perspectives. The Enlightenment approach to naming, categorizing, and representing the diversity of life dominates current academic science.  Military activity enabled the work of key founding figures of this tradition; e.g., Charles Darwin’s critical insights were made as part of a British naval expedition whose ultimate goal was to maintain and expand colonial power.  This approach to understanding nature has been practiced through striking traditions of drawing, printmaking, taxidermy, and cabinets of curiosities. Students will confront the practices and institutions of the biodiversity sciences in historical and political context.  We will engage with indigenous counter-narratives and approaches to understanding nature outside of normative European colonial practices.  Finally, we will work together to think critically about how we might decolonize institutions such as museums of natural history, approaches to visual culture and the biodiversity sciences more generally. Course activities will include active visual interpretation of nature through the production of artistic works, fieldtrips to museums such as the Minnesota Insect Collection and the Bell Museum of Natural History, and interpretation of archival materials such as Macalester’s Encyclopedie (Diderot), the Wangensteen Library’s Surinaamsche insecten engravings by Maria Sibylla Merian or the Science Museum of Minnesota’s Amazonian collection.  One possible culminating project would be for students to develop a decolonial cabinet of curiosities in collaboration with the Macalester archives.",Writing WA
ART 210-01,10832,Globalization and Contemporary Art, T R,09:40 am-11:10 am,ARTCOM 102,Joanna Inglot, Closed 1 / 20,"This course will examine the developments of contemporary art beyond traditional centers of gravity in Europe and the United States. Using a series of case studies, it will examine how globalization impacts artistic production in different parts of the world, including Asia, Africa, India, Latin America, Russia, Eastern Europe, Russia, and the Middle East. While analyzing a diverse range of artistic practices in these regions, the course will critically explore key discourses around the topic of globalization, including hybridity and diaspora, from post-modern and post-colonial perspectives. No background in art history necessary.",Internationalism
ART 233-01,10096,Photography I,M W F,09:40 am-11:40 am,ART 301,Pao Her,3 / 16,"This course introduces the conceptual, technical, and historical aspects of photography within a fine-arts context. The emphasis throughout is on photography as a creative and expressive medium and will introduce strategies and methods related to this goal through assignments and class activities. Students will learn the foundational aspects of digital photography from manual camera operation to the editing of images through Adobe Lightroom and Photoshop. Along the way, students will be introduced to the digital workflow, the critique process, and how to take their images from screen to print. Presentations and assigned readings will help students develop the critical and creative skills needed to understand how artistic photographs function in society and culture. $75 materials fee charged for course to cover printer paper and ink. Note: A digital SLR camera is required for this course--students may be able to rent one from the department on a first-come, first-served basis.",
ART 234-01,10097,Painting I, T R,01:20 pm-04:30 pm,ART 308,Chris Willcox, Closed 4 / 15,"An introduction to the studio practice of painting, using oil paint on a variety of supports ranging from paper, board and canvas to non-traditional painting surfaces. Exploration of the practical techniques and mechanics of painting as well as a consideration of content and meaning will be studied. Topics that will be studied include: paint-mixing, color matching, composition, design and a variety of painting styles. Readings and class discussions of historical and contemporary painting practices and issues will develop a visual vocabulary as well as critical/theoretical knowledge to complement technical skills. Lectures, demonstrations, critiques and a gallery/museum visit will supplement studio work.",
ART 235-01,10098,Sculpture I,M W F,09:40 am-11:40 am,ART 118,John Fleischer, Closed 0 / 15,"This hands-on studio class serves as an introduction to the rich and diverse field of inquiry we call sculpture. Over the course of the semester we will investigate a variety of concepts, materials, and fabrication methods employed in the realization of sculptural works. Examples of fabrication methods may include basic woodworking techniques, carving, basic sewing techniques, ""non-traditional"" techniques, and others. The early part of the semester is devoted to brief exercises that introduce materials, processes, techniques, tools/equipment, and ways of thinking/unthinking. The latter part of the semester is devoted to fully realized individual projects. Final projects are self-assigned and self-directed via prompts. In addition to the formal and spatial aspects of the sculptures we create, we will consider their symbolic, sociopolitical, ethical, material, and tactile dimensions. Slide presentations, short readings, critiques, group discussions, and gallery/museum visits supplement our studio research. The goal of this class is to conduct a serious and sustained - yet playful - inquiry into the question of sculpture while nurturing individual expression. This class is appropriate for any and all curious students interested in play, thinking with the hands, and reflecting on the results. $150 materials fee charged.",
ART 236-01,10099,Printmaking I, T R,01:20 pm-04:30 pm,ART 214,Ruthann Godollei, Closed 0 / 15,"A hands-on introduction to original printmaking in the media of relief, intaglio, lithography and handset type. Included are discussions of esthetics, the impact of printed imagery on society, the political power of prints, printmaking practices from diverse cultures and from around the world. Learn hand printing technologies as well as use of printing presses and tools in the service of developing your ideas in printed form. Trips to local exhibits and museums frame contemporary and historic understanding of the field. Emphasis is on personal expression and appropriate techniques for the content. Students edition one print at the end of the semester to trade in a portfolio with classmates. Students will be required to purchase some class materials from an art store. Contact the instructor directly for more information.",
ART 239-01,10100,2-D Design,M W F,01:10 pm-03:10 pm,ART 301,Pao Her, Closed 0 / 16,"In this foundations course we explore the fundamentals of two-dimensional design through a series of hands-on and digital projects. Topics such as the design process, pattern development and application, typography and branding are explored through both fine-art and commercial design projects. Demonstrations, presentations, and artist talks are included in addition to lab time and class discussions.  Students will finish the semester with a sketchbook full of ideas, a self-directed final project, and a well-rounded design portfolio. Software introduced includes Adobe Illustrator, Photoshop, and InDesign. Three two-hour periods per week.",
ART 254-01,10831,History of Body and Performance Art, T R,03:00 pm-04:30 pm,ARTCOM 102,Vanessa Reubendale,12 / 20,"This course introduces students to the history of body and performance art and will examine the trajectory of this interdisciplinary art form early 20th century avant-garde practices through contemporary period, examining how performance has become a vehicle to explore identities of gender, sexuality, race and issues of power. The course will address the work of the major artists and theorists of performance, including Antonin Artaud, Marcel Duchamp, Roland Barthes, Michel Foucault, Walter Benjamin, Guy Debord, Judith Butler, Peggy Phelan, Amelia Jones as well as artists such as Allan Kaprow, Marina Abramovic, Ana Mendieta, Adrian Piper, Yves Klein, Yoko Ono, Carolee Schneeman, Joseph Beuys, Coco Fusco, Guillermo Gómez-Peña, Forced Entertainment, Wooster Group, Yvonne Rainer, Orlan, and Nick Cave.",
ART 267-01,10102,3-D Design, T R,08:00 am-11:10 am,ART 118,John Fleischer, Closed 5 / 15,"This hands-on, studio class serves as an introduction to the fundamentals of organizing forms in three dimensions. Over the course of the semester we will work both independently and collaboratively to solve basic formal and spatial problems encountered in fields such as sculpture, architecture, and industrial design. We will develop a technical working vocabulary and think critically about the formal, spatial, structural, tactile, and ethical dimensions of the forms we create. This class is appropriate for any and all curious students interested in design, thinking with the hands, and reflecting on the creative process. Slide presentations, short readings, critiques, group discussions, and gallery/museum visits will supplement our studio research.",
ART 294-01,10103,The Performative Object, T R,01:20 pm-02:50 pm,ART 118,John Fleischer,2 / 15,"The Performative Object offers a hands-on studio experience that foregrounds the temporal, kinetic, and interactive aspects of sculpture. In this class we will look at, talk about, and create non-static sculptural forms that emphasize time, transformation, flexibility, movement, motion, participation, and viewer interaction. There is no prerequisite for the class, and no previous art experience is necessary. Slide presentations, short readings, critiques, group discussions, visiting artists, outdoor walks, and other experiments will supplement our studio research.",
ART 294-02,10104,Intersectional Medieval Art,M W F,10:50 am-11:50 am,ARTCOM 102,Jennifer Awes-Freeman,3 / 20,"Grounded in critical race theory, intersectionality, and queer theory, this class draws on primary texts and a range of visual and material sources to trace the histories, experiences, and representations of marginalized identities in the medieval world. We will consider gender, sexuality, and race in the context of Jewish, Christian, and Islamic cultures during the Middle Ages. This class will examine topics including transgender saints, miraculous transformations, demonic possession, female artists and patrons, the “monstrous races” of travel accounts, and gender-affirming surgeries. In contrast to misconceptions of a homogenous white European past, the reality of medieval Europe was diverse and complex, and its boundaries—geographical, cultural, bodily, and otherwise—were in flux, as reflected in its visual and material culture.",
ART 370-01,10106,Drawing II: Independent Drawing Projects,M W,10:50 am-12:20 pm,ART 206,Megan Vossler, Closed 1 / 10,"This course will help you learn how to develop, revise, and complete your own independent project. We will spend the first part of the semester exploring different themes, content areas, and approaches to materials, to help you narrow down an idea that is meaningful to you. Working one-on-one, we will develop a timetable for completing a body of independent work during the semester. Realistic goals and accountability within a supportive class community will help keep you on track and provide you with in-progress feedback. Materials and scope of projects will depend on your own individual preferences, and might include traditional, digital, or non-traditional materials. Prerequisite: Drawing I.",
ART 371-01,10107,Painting II, T R,08:00 am-11:10 am,ART 202,Chris Willcox,4 / 10,"A continuation of ART 234, expanding both technical and critical/theoretical knowledge through projects which demand the development of each student's individual interests. Required projects will encourage increasing self-direction and development of the students' own artistic vision. Readings will supplement students'  critical and theoretical understanding of historical and contemporary art practices. Frequent group discussions and critiques, as well as museum/gallery field trips. Three two-hour periods per week. Offered every other semester. Prerequisite(s): ART 234 .",
ART 373-01,10108,Printmaking II,TBA,TBA,ART 214,Ruthann Godollei,4 / 8,"This course is a continuation of Printmaking I, with the introduction of new techniques appropriate for the content. Advanced printers can explore known media in more depth and learn new processes such as photo polymer relief, laser stencil cuts, collagraphs, pronto plate lithography or photo screenprint. Individually generated concepts are explored with expanded forms such as monoprinting, printing on unusual surfaces, or installation and performance work involving printed components. Trips to local galleries, printshops and museums add depth to understanding the diverse contexts in which contemporary prints are made, as well as the vital role prints play in social movements. In addition to exchanging prints within the class, students research and identify an external opportunity to share their prints. Students will be required to purchase some class materials from an art store. Contact the instructor directly for more information.",
ASIA 112-01,10630,Buddhist Literature, T R,01:20 pm-02:50 pm,HUM 212,Erik Davis,3 / 20,"Buddhist Literature introduces students to the forms, style, and usages of Buddhist literatures, as well as considerations of their content as well as their histories of creation, commentary, and social use. We will examine the structure of Buddhist canonical literatures but will also be focused on non-canonical literatures such as stories of past-life memories, biographies, and narrative visual and physical arts. Texts from multiple traditions of Buddhism, including Theravāda and Mahāyāna, will be included. This course's primary activities will be reading, discussion, and reflective work.",
ASIA 124-01,10634,Dharma and Dao: Big Ideas in India and China,M W F,02:20 pm-03:20 pm,MAIN 010,James Laine, Closed 8 / 20,"An introduction to the study of Asian religious traditions in South and East Asia (India, China and Japan). Open to everyone but especially appropriate for first and second year students.",Internationalism
